x_value,total_1,total_2
551,1439,1233
552,1443,1238
553,1441,1242
554,1442,1242
555,1445,1243
556,1443,1248
557,1444,1247
558,1450,1247
559,1456,1253
560,1450,1251
561,1454,1249
562,1448,1250
563,1453,1245
564,1449,1246
565,1452,1252
566,1454,1248
567,1458,1253
568,1466,1258
569,1466,1262
570,1471,1266
571,1469,1267
572,1466,1264
573,1472,1263
574,1472,1260
575,1468,1257
576,1471,1258
577,1472,1254
578,1473,1259
579,1480,1256
580,1487,1262
581,1489,1263
582,1497,1269
583,1492,1264
584,1494,1266
585,1502,1263
586,1507,1260
587,1509,1263
588,1509,1261
589,1514,1256
590,1522,1253
591,1523,1258
592,1526,1257
593,1534,1254
594,1538,1249
595,1542,1250
596,1538,1250
597,1545,1251
598,1551,1256
599,1548,1257
600,1543,1259
601,1551,1263
602,1554,1259
603,1561,1256
604,1559,1252
605,1566,1256
606,1561,1261
607,1555,1256
608,1563,1261
609,1563,1256
610,1564,1259
611,1566,1265
612,1567,1266
613,1564,1267
614,1566,1263
615,1562,1269
616,1558,1266
617,1557,1268
618,1552,1263
619,1556,1263
620,1552,1260
621,1547,1264
622,1554,1266
623,1555,1270
624,1562,1270
625,1559,1274
626,1556,1273
627,1550,1269
628,1558,1271
629,1562,1275
630,1560,1281
631,1566,1283
632,1568,1281
633,1576,1285
634,1570,1280
635,1575,1277
636,1574,1274
637,1580,1280
638,1588,1284
639,1583,1280
640,1578,1275
641,1578,1270
642,1583,1274
643,1584,1278
644,1579,1273
645,1578,1270
646,1582,1270
647,1581,1276
648,1587,1274
649,1594,1271
650,1596,1273
651,1590,1278
652,1594,1282
653,1591,1281
654,1596,1280
655,1592,1275
656,1593,1275
657,1601,1273
658,1598,1278
659,1598,1282
660,1600,1281
661,1594,1278
662,1593,1281
663,1597,1283
664,1605,1278
665,1600,1273
666,1598,1279
667,1597,1284
668,1598,1281
669,1592,1279
670,1586,1279
671,1592,1279
672,1588,1278
673,1583,1284
674,1587,1287
675,1593,1286
676,1600,1288
677,1594,1283
678,1602,1282
679,1606,1277
680,1613,1277
681,1616,1275
682,1622,1270
683,1622,1275
684,1624,1277
685,1628,1272
686,1632,1270
687,1640,1276
688,1647,1278
689,1645,1283
690,1644,1283
691,1652,1289
692,1655,1294
693,1655,1297
694,1657,1298
695,1663,1299
696,1665,1296
697,1666,1301
698,1662,1304
699,1660,1304
700,1668,1305
701,1665,1307
702,1671,1313
703,1672,1308
704,1677,1308
705,1679,1307
706,1675,1307
707,1671,1313
708,1674,1318
709,1668,1323
710,1664,1319
711,1671,1315
712,1672,1315
713,1667,1312
714,1661,1312
715,1660,1307
716,1667,1312
717,1675,1317
718,1681,1312
719,1685,1318
720,1689,1317
721,1695,1312
722,1692,1315
723,1688,1310
724,1685,1306
725,1691,1303
726,1694,1300
727,1701,1306
728,1703,1309
729,1704,1307
730,1703,1307
731,1702,1304
732,1702,1301
733,1706,1306
734,1704,1306
735,1710,1312
736,1717,1307
737,1717,1313
738,1714,1318
739,1714,1322
740,1710,1328
741,1705,1334
742,1710,1330
743,1711,1329
744,1711,1328
745,1705,1323
746,1706,1321
747,1706,1317
748,1707,1312
749,1709,1310
750,1715,1314
751,1718,1320
752,1723,1322
753,1720,1324
754,1727,1320
755,1733,1316
756,1738,1317
757,1744,1323
758,1738,1321
759,1746,1317
760,1744,1315
761,1738,1321
762,1741,1321
763,1742,1321
764,1738,1327
765,1743,1329
766,1748,1332
767,1750,1337
768,1754,1333
769,1748,1336
770,1745,1333
771,1752,1331
772,1755,1327
773,1761,1323
774,1767,1329
775,1762,1333
776,1762,1330
777,1768,1326
778,1776,1328
779,1784,1331
780,1786,1333
781,1793,1338
782,1787,1338
783,1788,1341
784,1785,1345
785,1782,1342
786,1782,1342
787,1788,1344
788,1790,1342
789,1788,1340
790,1793,1337
791,1792,1340
792,1790,1339
793,1790,1340
794,1790,1340
795,1793,1343
796,1794,1341
797,1800,1346
798,1800,1349
799,1795,1350
800,1794,1346
801,1799,1346
802,1800,1342
803,1803,1340
804,1798,1336
805,1804,1338
806,1808,1333
807,1812,1338
808,1813,1342
809,1813,1346
810,1821,1350
811,1825,1347
812,1830,1352
813,1827,1358
814,1833,1354
815,1836,1355
816,1830,1357
817,1824,1354
818,1820,1353
819,1827,1351
820,1834,1353
821,1831,1352
822,1837,1349
823,1839,1348
824,1838,1346
825,1838,1343
826,1843,1346
827,1845,1351
828,1841,1346
829,1835,1348
830,1842,1346
831,1844,1349
832,1842,1346
833,1837,1342
834,1843,1345
835,1844,1341
836,1843,1339
837,1850,1335
838,1857,1336
839,1856,1342
840,1863,1346
841,1867,1344
842,1869,1348
843,1866,1351
844,1864,1346
845,1872,1348
846,1866,1346
847,1868,1342
848,1866,1347
849,1869,1342
850,1876,1341
851,1881,1342
852,1879,1348
853,1873,1354
854,1870,1349
855,1878,1344
856,1880,1343
857,1877,1338
858,1884,1337
859,1881,1340
860,1877,1338
861,1885,1339
862,1884,1336
863,1887,1335
864,1889,1339
865,1883,1345
866,1885,1349
867,1890,1345
868,1892,1349
869,1892,1347
870,1900,1353
871,1894,1349
872,1895,1348
873,1903,1351
874,1898,1348
875,1895,1346
876,1894,1352
877,1889,1355
878,1897,1353
879,1895,1348
880,1899,1350
881,1893,1345
882,1891,1346
883,1893,1342
884,1891,1346
885,1897,1348
886,1895,1347
887,1899,1351
888,1893,1349
889,1896,1350
890,1897,1345
891,1897,1351
892,1904,1351
893,1908,1348
894,1908,1343
895,1903,1342
896,1910,1338
897,1915,1334
898,1915,1336
899,1911,1335
900,1910,1340
901,1907,1340
902,1908,1337
903,1913,1332
904,1913,1332
905,1914,1331
906,1922,1330
907,1920,1328
908,1923,1327
909,1927,1326
910,1930,1322
911,1931,1322
912,1935,1319
913,1936,1323
914,1935,1322
915,1929,1321
916,1923,1323
917,1931,1319
918,1928,1325
919,1925,1328
920,1930,1328
921,1937,1326
922,1932,1331
923,1931,1333
924,1927,1329
925,1923,1329
926,1928,1333
927,1935,1338
928,1936,1338
929,1931,1343
930,1936,1341
931,1937,1344
932,1936,1339
933,1938,1340
934,1933,1339
935,1938,1340
936,1940,1346
937,1938,1347
938,1933,1344
939,1935,1346
940,1930,1345
941,1937,1342
942,1938,1338
943,1933,1340
944,1928,1345
945,1931,1351
946,1933,1354
947,1936,1350
948,1940,1354
949,1948,1350
950,1944,1355
951,1950,1353
952,1946,1355
953,1943,1360
954,1951,1363
955,1950,1363
956,1957,1363
957,1960,1367
958,1956,1368
959,1963,1373
960,1970,1372
961,1977,1378
962,1975,1374
963,1982,1378
964,1984,1379
965,1982,1378
966,1982,1376
967,1988,1376
968,1983,1374
969,1989,1369
970,1996,1374
971,1996,1375
972,1990,1376
973,1984,1381
974,1986,1380
975,1989,1376
976,1995,1382
977,2001,1386
978,1997,1384
979,1993,1382
980,1990,1385
981,1990,1385
982,1990,1386
983,1985,1381
984,1993,1376
985,1989,1371
986,1991,1373
987,1997,1377
988,1991,1382
989,1991,1377
990,1991,1379
991,1987,1374
992,1995,1375
993,1993,1372
994,1998,1372
995,2004,1369
996,2005,1365
997,2011,1367
998,2010,1372
999,2012,1371
1000,2019,1372
1001,2025,1374
1002,2022,1371
1003,2023,1374
1004,2018,1380
1005,2026,1385
1006,2029,1386
1007,2024,1389
1008,2018,1384
1009,2021,1383
1010,2029,1386
1011,2033,1387
1012,2029,1393
1013,2029,1393
1014,2025,1393
1015,2033,1394
1016,2033,1396
1017,2028,1394
1018,2031,1392
1019,2029,1389
1020,2024,1390
1021,2029,1390
1022,2029,1391
1023,2035,1387
1024,2040,1387
1025,2046,1391
1026,2049,1390
1027,2046,1394
1028,2048,1399
1029,2044,1403
1030,2042,1409
1031,2041,1410
1032,2044,1411
1033,2043,1417
1034,2044,1421
1035,2047,1423
1036,2047,1424
1037,2047,1427
1038,2043,1428
1039,2047,1430
1040,2046,1435
1041,2040,1430
1042,2037,1427
1043,2036,1431
1044,2036,1434
1045,2034,1439
1046,2038,1443
1047,2038,1438
1048,2040,1437
1049,2047,1438
1050,2052,1443
1051,2052,1445
1052,2047,1450
1053,2043,1446
1054,2050,1452
1055,2044,1447
1056,2047,1452
1057,2051,1455
1058,2048,1450
1059,2050,1451
1060,2050,1450
1061,2052,1454
1062,2047,1452
1063,2050,1449
1064,2053,1445
1065,2049,1441
1066,2053,1440
1067,2061,1445
1068,2061,1440
1069,2067,1442
1070,2071,1445
1071,2073,1444
1072,2079,1449
1073,2083,1448
1074,2078,1447
1075,2084,1445
1076,2089,1445
1077,2096,1440
1078,2090,1439
1079,2092,1439
1080,2090,1439
1081,2092,1436
1082,2089,1435
1083,2092,1432
1084,2095,1429
1085,2098,1434
1086,2096,1437
1087,2092,1435
1088,2091,1438
1089,2096,1440
1090,2098,1441
1091,2094,1441
1092,2098,1436
1093,2100,1439
1094,2096,1441
1095,2097,1447
1096,2096,1452
1097,2104,1457
1098,2104,1463
1099,2109,1461
1100,2112,1461
1101,2108,1456
1102,2116,1451
1103,2123,1457
1104,2117,1455
1105,2124,1461
1106,2119,1460
1107,2122,1459
1108,2117,1454
1109,2124,1456
1110,2127,1455
1111,2122,1453
1112,2129,1451
1113,2137,1448
1114,2144,1451
1115,2150,1456
1116,2147,1461
1117,2154,1457
1118,2154,1456
1119,2153,1451
1120,2152,1455
1121,2151,1455
1122,2158,1450
1123,2161,1446
1124,2160,1446
1125,2166,1442
1126,2170,1445
1127,2172,1440
1128,2168,1445
1129,2172,1440
1130,2173,1435
1131,2173,1433
1132,2174,1438
1133,2178,1440
1134,2185,1435
1135,2186,1440
1136,2182,1436
1137,2179,1437
1138,2186,1435
1139,2180,1436
1140,2175,1438
1141,2183,1438
1142,2189,1437
1143,2192,1442
1144,2199,1438
1145,2204,1433
1146,2199,1438
1147,2197,1443
1148,2197,1449
1149,2203,1446
1150,2206,1441
1151,2212,1443
1152,2206,1443
1153,2214,1443
1154,2220,1446
1155,2228,1450
1156,2231,1452
1157,2227,1449
1158,2227,1452
1159,2225,1452
1160,2224,1449
1161,2219,1450
1162,2220,1447
1163,2215,1444
1164,2210,1442
1165,2210,1441
